순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
13,2017,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,한국,1426,31983233566,4012889,액션,15세이상관람가,일반영화
14,2017,남한산성,황동혁,(주)싸이런픽쳐스,,(주)씨제이이엔엠,2017-10-03,한국,1229,31067321992,3829891,사극,15세이상관람가,일반영화
15,2017,미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,미국,1257,30504689978,3689325,액션,15세이상관람가,일반영화
16,2017,분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,미국,1469,29981156348,3653238,액션,15세이상관람가,일반영화
17,2017,너의 이름은.,신카이 마코토,,(주)미디어캐슬,메가박스중앙(주)플러스엠,2017-01-04,일본,947,29248867156,3637122,애니메이션,12세이상관람가,일반영화
18,2017,슈퍼배드 3,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,미국,1057,24216987019,3324861,애니메이션,전체관람가,일반영화
19,2017,아이 캔 스피크,김현석,"주식회사 영화사 시선,(주)명필름",,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,한국,1140,25526451186,3279296,코미디,12세이상관람가,일반영화
20,2017,캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,미국,1357,24975495122,3049894,액션,12세이상관람가,일반영화
21,2017,프리즌,나현,(주)큐로홀딩스,,(주)쇼박스,2017-03-23,한국,1047,23790276987,2931897,범죄,청소년관람불가,일반영화
22,2017,덩케르크,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-07-20,미국,1252,24550541348,2788732,액션,12세이상관람가,일반영화
